Province/State,Country name,Lat,Long,12/31/2022
,Afghanistan,33.93911,67.709953,7849
,Albania,41.1533,20.1683,3595
,Algeria,28.0339,1.6596,6881
,Andorra,42.5063,1.5218,165
,Angola,-11.2027,17.8739,1930
,Antarctica,-71.9499,23.347,0
,Antigua and Barbuda,17.0608,-61.7964,146
,Argentina,-38.4161,-63.6167,130124
,Armenia,40.0691,45.0382,8716
Australian Capital Territory,Australia,-35.4735,149.0124,138
New South Wales,Australia,-33.8688,151.2093,5804
Northern Territory,Australia,-12.4634,130.8456,84
Queensland,Australia,-27.4698,153.0251,2405
South Australia,Australia,-34.9285,138.6007,1155
Tasmania,Australia,-42.8821,147.3272,224
Victoria,Australia,-37.8136,144.9631,6405
Western Australia,Australia,-31.9505,115.8605,837
,Austria,47.5162,14.5501,21443
,Azerbaijan,40.1431,47.5769,10008
,Bahamas,25.025885,-78.035889,833
,Bahrain,26.0275,50.55,1539
,Bangladesh,23.685,90.3563,29440
,Barbados,13.1939,-59.5432,568
,Belarus,53.7098,27.9534,7118
,Belgium,50.8333,4.469936,33228
,Belize,17.1899,-88.4976,688
,Benin,9.3077,2.3158,163
,Bhutan,27.5142,90.4336,21
,Bolivia,-16.2902,-63.5887,22299
,Bosnia and Herzegovina,43.9159,17.6791,16227
,Botswana,-22.3285,24.6849,2794
,Brazil,-14.235,-51.9253,693853
,Brunei,4.5353,114.7277,225
,Bulgaria,42.7339,25.4858,38108
,Burkina Faso,12.2383,-1.5616,395
,Burma,21.9162,95.956,19490
,Burundi,-3.3731,29.9189,38
,Cabo Verde,16.5388,-23.0418,412
,Cambodia,11.55,104.9167,3056
,Cameroon,3.848,11.5021,1965
Alberta,Canada,53.9333,-116.5765,5351
British Columbia,Canada,53.7267,-127.6476,4806
Diamond Princess,Canada,0,0,1
Grand Princess,Canada,0,0,0
Manitoba,Canada,53.7609,-98.8139,2331
New Brunswick,Canada,46.5653,-66.4619,635
Newfoundland and Labrador,Canada,53.1355,-57.6604,288
Northwest Territories,Canada,64.8255,-124.8457,22
Nova Scotia,Canada,44.682,-63.7443,674
Nunavut,Canada,70.2998,-83.1076,7
Ontario,Canada,51.2538,-85.3232,15538
Prince Edward Island,Canada,46.5107,-63.4168,82
Quebec,Canada,52.9399,-73.5491,17690
Repatriated Travellers,Canada,,,0
Saskatchewan,Canada,52.9399,-106.4509,1781
Yukon,Canada,64.2823,-135,32
,Central African Republic,6.6111,20.9394,113
,Chad,15.4542,18.7322,194
,Chile,-35.6751,-71.543,63172
Anhui,China,31.8257,117.2264,7
Beijing,China,40.1824,116.4142,20
Chongqing,China,30.0572,107.874,9
Fujian,China,26.0789,117.9874,2
Gansu,China,35.7518,104.2861,2
Guangdong,China,23.3417,113.4244,8
Guangxi,China,23.8298,108.7881,2
Guizhou,China,26.8154,106.8748,2
Hainan,China,19.1959,109.7453,6
Hebei,China,39.549,116.1306,7
Heilongjiang,China,47.862,127.7615,13
Henan,China,37.8957,114.9042,23
Hong Kong,China,22.3,114.2,11807
Hubei,China,30.9756,112.2707,4512
Hunan,China,27.6104,111.7088,4
Inner Mongolia,China,44.0935,113.9448,1
Jiangsu,China,32.9711,119.455,0
Jiangxi,China,27.614,115.7221,1
Jilin,China,43.6661,126.1923,5
Liaoning,China,41.2956,122.6085,2
Macau,China,22.1667,113.55,45
Ningxia,China,37.2692,106.1655,0
Qinghai,China,35.7452,95.9956,0
Shaanxi,China,35.1917,108.8701,5
Shandong,China,36.3427,118.1498,8
Shanghai,China,31.202,121.4491,595
Shanxi,China,37.5777,112.2922,0
Sichuan,China,30.6171,102.7103,7
Tianjin,China,39.3054,117.323,3
